year,playlist_genre,danceability,valence,energy,loudness,mode
2010,rock,0.5407083333333333,0.5813333333333334,0.761975,-7.246175,0.6833333333333333
2011,edm,0.6769324324324324,0.4683905405405405,0.7581351351351351,-5.760905405405405,0.5540540540540541
2011,latin,0.6777619047619048,0.6355715476190477,0.7441071428571429,-6.167440476190476,0.6071428571428571
2011,pop,0.61175,0.5283423611111111,0.7343481944444444,-6.169951388888888,0.6041666666666666
2011,r&b,0.629992,0.5431272,0.608272,-7.951344,0.64
2011,rap,0.6702375,0.56220625,0.726425,-5.9890375,0.55
2011,rock,0.5167628865979381,0.5124051546391752,0.8021649484536083,-5.591515463917525,0.6288659793814433
2012,edm,0.6584235294117647,0.45153411764705886,0.7839294117647059,-5.262970588235294,0.5352941176470588
2012,latin,0.6779172932330827,0.6708496240601504,0.7621556390977443,-5.860864661654135,0.6390977443609023
2012,pop,0.6209659090909091,0.5287693181818182,0.763534090909091,-5.342789772727273,0.6079545454545454
2012,r&b,0.628496062992126,0.4845874015748032,0.5858480314960629,-7.751566929133858,0.5196850393700787
2012,rap,0.6355982905982905,0.5045923076923077,0.7246239316239317,-6.044752136752137,0.5982905982905983
2012,rock,0.5189365079365079,0.511747619047619,0.7529206349206349,-6.578904761904762,0.5079365079365079
2013,edm,0.6401725239616614,0.35580479233226836,0.8267156549520767,-4.866389776357828,0.5431309904153354
2013,latin,0.6977642276422764,0.6110016260162602,0.7333414634146341,-6.155739837398373,0.6016260162601627
2013,pop,0.6263700440528635,0.5324933920704846,0.7208281938325991,-6.292757709251101,0.5682819383259912
2013,r&b,0.6310948275862068,0.5099491379310345,0.5790327586206897,-7.89851724137931,0.5431034482758621
2013,rap,0.6626559139784947,0.48334408602150536,0.7246989247311828,-6.138827956989248,0.5483870967741935
2013,rock,0.515095238095238,0.4638809523809524,0.8180119047619047,-5.475154761904762,0.6666666666666666
2014,edm,0.6298280141843972,0.3307941489361702,0.851113475177305,-4.556037234042553,0.5212765957446809
2014,latin,0.6988787878787879,0.6237818181818182,0.7508545454545454,-5.83270303030303,0.5454545454545454
2014,pop,0.6095949367088608,0.4950139240506329,0.7375158227848101,-6.000104430379746,0.6360759493670886
2014,r&b,0.6481155778894472,0.5258854271356784,0.6115075376884422,-7.683010050251257,0.44221105527638194
2014,rap,0.6634857142857142,0.49560000000000004,0.7131257142857143,-6.131131428571429,0.5428571428571428
2014,rock,0.4789333333333333,0.39005142857142855,0.7104190476190476,-7.1306095238095235,0.6190476190476191
2015,edm,0.633995670995671,0.3843601731601732,0.8103463203463204,-5.026768398268398,0.4935064935064935
2015,latin,0.6904729241877257,0.5744407942238268,0.7452924187725631,-5.848812274368232,0.5884476534296029
2015,pop,0.6387703549060543,0.4648254697286012,0.6875135699373696,-6.450757828810021,0.5657620041753654
2015,r&b,0.6539514170040486,0.4563275303643725,0.5722732793522267,-7.864906882591093,0.5222672064777328
2015,rap,0.699127659574468,0.42637914893617024,0.6678723404255319,-6.568557446808511,0.6
2015,rock,0.5402784810126583,0.5476582278481013,0.7793291139240507,-6.172025316455697,0.6455696202531646
2016,edm,0.6390863453815261,0.3940863453815261,0.7999899598393574,-4.981775100401606,0.46987951807228917
2016,latin,0.7063200000000001,0.5359314666666667,0.7310453333333333,-5.865106666666667,0.5146666666666667
2016,pop,0.6324519774011299,0.45436195856873823,0.6679632768361582,-6.469455743879473,0.5856873822975518
2016,r&b,0.6431851851851852,0.47609601139601143,0.5707737891737892,-7.648133903133902,0.4928774928774929
2016,rap,0.6716542372881356,0.40092949152542373,0.6719491525423729,-6.466013559322033,0.5559322033898305
2016,rock,0.5235974025974026,0.4881402597402597,0.7082467532467532,-7.259155844155845,0.6103896103896104
2017,edm,0.6545041152263374,0.4085779835390947,0.7787860082304527,-5.485341563786009,0.5473251028806584
2017,latin,0.7083780303030303,0.567634595959596,0.7220130681818181,-6.060767676767677,0.5883838383838383
2017,pop,0.6473801980198021,0.4924889108910891,0.6826059405940594,-6.095142574257426,0.5366336633663367
2017,r&b,0.6406724137931035,0.441276724137931,0.571025,-7.674685344827586,0.521551724137931
2017,rap,0.7155464362850972,0.4240470842332613,0.6482038876889848,-6.70086393088553,0.5226781857451404
2017,rock,0.4982241379310345,0.42519396551724137,0.7307672413793104,-7.042249999999999,0.5775862068965517
2018,edm,0.669717880794702,0.3980325827814569,0.7913443708609272,-5.897985430463576,0.5483443708609271
2018,latin,0.7277125220458553,0.5696391534391535,0.6861481481481482,-6.041320987654321,0.5326278659611993
2018,pop,0.6538899147727273,0.4750926136363636,0.6789664772727272,-6.1067386363636365,0.5667613636363636
2018,r&b,0.6599977876106196,0.4303758849557522,0.553620575221239,-7.371185840707964,0.5265486725663717
2018,rap,0.7174127659574469,0.4549787234042553,0.5904587234042553,-7.762648226950355,0.4907801418439716
2018,rock,0.5104961240310077,0.46329457364341087,0.8053565891472869,-5.56831007751938,0.5968992248062015
2019,edm,0.6577638948728997,0.40422382593709605,0.8057190866006032,-5.534116760017234,0.5178802240413615
2019,latin,0.7187871740287387,0.5925416391697711,0.6831514635444385,-6.020378392762107,0.5715806279936136
2019,pop,0.6598689002184996,0.48445935906773485,0.6793337946103424,-6.182352512745813,0.5782957028404953
2019,r&b,0.6819241192411925,0.4837218608852755,0.5959728093947606,-7.0278681120144535,0.5248419150858176
2019,rap,0.725203947368421,0.47737384868421057,0.6134515899122807,-7.373610745614036,0.4857456140350877
2019,rock,0.5046967071057192,0.44444783362218365,0.8001147313691508,-5.722220103986135,0.6672443674176777
2020,edm,0.6614836956521739,0.3868320652173913,0.7487391304347826,-6.271146739130435,0.5108695652173914
2020,latin,0.7209923664122138,0.5880106870229007,0.68123893129771,-5.885862595419847,0.5267175572519084
2020,pop,0.6432588235294118,0.4678323529411764,0.6246411764705881,-7.248541176470588,0.6823529411764706
2020,r&b,0.6985591397849462,0.486394623655914,0.5986989247311828,-7.178806451612903,0.4946236559139785
2020,rap,0.7175597484276729,0.46929308176100626,0.6121069182389938,-7.684522012578616,0.4088050314465409
2020,rock,0.47779166666666667,0.42920833333333336,0.8335208333333334,-5.401041666666667,0.5208333333333334
